Benchmark_Type; Integer_Type; Vector_Size; Thread_Count; Count; Bandwidth
0;1; 32; 1; 10; 3.2
0;1; 64; 1; 20; 3.2
0;1; 128; 1; 41; 3.12195
0;1; 256; 1; 83; 3.08434
0;1; 512; 1; 165; 3.10303
0;1; 1024; 1; 326; 3.1411
0;1; 2048; 1; 686; 2.98542
0;1; 4096; 1; 1313; 3.11957
0;1; 8192; 1; 2611; 3.1375
0;1; 16384; 1; 5255; 3.11779
0;1; 32768; 1; 10695; 3.06386
0;1; 65536; 1; 20854; 3.14261
0;1; 131072; 1; 41877; 3.12993
0;1; 262144; 1; 83188; 3.15122
0;1; 524288; 1; 167236; 3.13502
0;1; 1048576; 1; 333985; 3.13959
0;1; 2097152; 1; 665124; 3.15302
0;1; 4194304; 1; 1333879; 3.14444
0;1; 8388608; 1; 2676681; 3.13396
0;1; 16777216; 1; 5397160; 3.10853
0;1; 33554432; 1; 10914955; 3.07417
0;1; 67108864; 1; 21852905; 3.07094
0;1; 134217728; 1; 43873816; 3.05918
0;1; 268435456; 1; 88942111; 3.01809
0;1; 536870912; 1; 178744980; 3.00356
0;2; 32; 1; 5; 6.4
0;2; 64; 1; 9; 7.11111
0;2; 128; 1; 17; 7.52941
0;2; 256; 1; 35; 7.31429
0;2; 512; 1; 73; 7.0137
0;2; 1024; 1; 144; 7.11111
0;2; 2048; 1; 319; 6.42006
0;2; 4096; 1; 574; 7.13589
0;2; 8192; 1; 1132; 7.23675
0;2; 16384; 1; 2288; 7.16084
0;2; 32768; 1; 4959; 6.60778
0;2; 65536; 1; 8921; 7.34626
0;2; 131072; 1; 17860; 7.33886
0;2; 262144; 1; 37154; 7.05561
0;2; 524288; 1; 72251; 7.25648
0;2; 1048576; 1; 143775; 7.29317
0;2; 2097152; 1; 288487; 7.26949
0;2; 4194304; 1; 582024; 7.20641
0;2; 8388608; 1; 1192899; 7.03212
0;2; 16777216; 1; 2795359; 6.00181
0;2; 33554432; 1; 5573045; 6.02084
0;2; 67108864; 1; 10720933; 6.25961
0;2; 134217728; 1; 24662344; 5.44221
0;2; 268435456; 1; 48638852; 5.51895
0;2; 536870912; 1; 93099466; 5.76664
0;4; 32; 1; 3; 10.6667
0;4; 64; 1; 6; 10.6667
0;4; 128; 1; 12; 10.6667
0;4; 256; 1; 19; 13.4737
0;4; 512; 1; 37; 13.8378
0;4; 1024; 1; 75; 13.6533
0;4; 2048; 1; 140; 14.6286
0;4; 4096; 1; 265; 15.4566
0;4; 8192; 1; 510; 16.0627
0;4; 16384; 1; 1018; 16.0943
0;4; 32768; 1; 1998; 16.4004
0;4; 65536; 1; 4126; 15.8837
0;4; 131072; 1; 8160; 16.0627
0;4; 262144; 1; 16631; 15.7624
0;4; 524288; 1; 33229; 15.778
0;4; 1048576; 1; 64251; 16.32
0;4; 2097152; 1; 128637; 16.3029
0;4; 4194304; 1; 264480; 15.8587
0;4; 8388608; 1; 545496; 15.3779
0;4; 16777216; 1; 1233353; 13.6029
0;4; 33554432; 1; 3774793; 8.88908
0;4; 67108864; 1; 9112583; 7.36442
0;4; 134217728; 1; 18994825; 7.06602
0;4; 268435456; 1; 35542629; 7.55249
0;4; 536870912; 1; 73659899; 7.28851
0;8; 32; 1; 2; 16
0;8; 32; 2; 2; 32
0;8; 32; 4; 5; 25.6
0;8; 32; 8; 13; 19.6923
0;8; 64; 1; 3; 21.3333
0;8; 64; 2; 4; 32
0;8; 64; 4; 8; 32
0;8; 64; 8; 16; 32
0;8; 128; 1; 5; 25.6
0;8; 128; 2; 6; 42.6667
0;8; 128; 4; 10; 51.2
0;8; 128; 8; 21; 48.7619
0;8; 256; 1; 10; 25.6
0;8; 256; 2; 10; 51.2
0;8; 256; 4; 16; 64
0;8; 256; 8; 33; 62.0606
0;8; 512; 1; 28; 18.2857
0;8; 512; 2; 27; 37.9259
0;8; 512; 4; 40; 51.2
0;8; 512; 8; 80; 51.2
0;8; 1024; 1; 43; 23.814
0;8; 1024; 2; 46; 44.5217
0;8; 1024; 4; 64; 64
0;8; 1024; 8; 129; 63.5039
0;8; 2048; 1; 80; 25.6
0;8; 2048; 2; 77; 53.1948
0;8; 2048; 4; 117; 70.0171
0;8; 2048; 8; 235; 69.7191
0;8; 4096; 1; 160; 25.6
0;8; 4096; 2; 153; 53.5425
0;8; 4096; 4; 224; 73.1429
0;8; 4096; 8; 447; 73.3065
0;8; 8192; 1; 298; 27.4899
0;8; 8192; 2; 295; 55.539
0;8; 8192; 4; 437; 74.984
0;8; 8192; 8; 872; 75.156
0;8; 16384; 1; 574; 28.5436
0;8; 16384; 2; 581; 56.3993
0;8; 16384; 4; 867; 75.5894
0;8; 16384; 8; 1730; 75.7642
0;8; 32768; 1; 1273; 25.7408
0;8; 32768; 2; 1175; 55.7753
0;8; 32768; 4; 2045; 64.0939
0;8; 32768; 8; 3894; 67.32
0;8; 65536; 1; 2763; 23.7191
0;8; 65536; 2; 3494; 37.5135
0;8; 65536; 4; 3909; 67.0617
0;8; 65536; 8; 7798; 67.2336
0;8; 131072; 1; 4698; 27.8995
0;8; 131072; 2; 4798; 54.6361
0;8; 131072; 4; 8074; 64.9353
0;8; 131072; 8; 15994; 65.5606
0;8; 262144; 1; 10467; 25.0448
0;8; 262144; 2; 11530; 45.4716
0;8; 262144; 4; 18078; 58.0029
0;8; 262144; 8; 35449; 59.1597
0;8; 524288; 1; 24715; 21.2134
0;8; 524288; 2; 25692; 40.8133
0;8; 524288; 4; 36450; 57.535
0;8; 524288; 8; 71030; 59.0498
0;8; 1048576; 1; 47833; 21.9216
0;8; 1048576; 2; 49225; 42.6034
0;8; 1048576; 4; 71832; 58.3905
0;8; 1048576; 8; 143068; 58.6337
0;8; 2097152; 1; 96371; 21.7612
0;8; 2097152; 2; 97223; 43.1411
0;8; 2097152; 4; 143807; 58.3324
0;8; 2097152; 8; 289882; 57.876
0;8; 4194304; 1; 209504; 20.0202
0;8; 4194304; 2; 215516; 38.9234
0;8; 4194304; 4; 294378; 56.9921
0;8; 4194304; 8; 606292; 55.3437
0;8; 8388608; 1; 361240; 23.2217
0;8; 8388608; 2; 435938; 38.4853
0;8; 8388608; 4; 1017895; 32.9645
0;8; 8388608; 8; 2032037; 33.0254
0;8; 16777216; 1; 1016537; 16.5043
0;8; 16777216; 2; 1695045; 19.7956
0;8; 16777216; 4; 3129869; 21.4414
0;8; 16777216; 8; 6123600; 21.9181
0;8; 33554432; 1; 3623421; 9.26043
0;8; 33554432; 2; 3973682; 16.8883
0;8; 33554432; 4; 6250958; 21.4715
0;8; 33554432; 8; 12346859; 21.7412
0;8; 67108864; 1; 7734939; 8.67607
0;8; 67108864; 2; 8260394; 16.2483
0;8; 67108864; 4; 12439755; 21.5788
0;8; 67108864; 8; 24409551; 21.9943
0;8; 134217728; 1; 15259422; 8.79573
0;8; 134217728; 2; 15634248; 17.1697
0;8; 134217728; 4; 24382305; 22.0189
0;8; 134217728; 8; 47576246; 22.5689
0;8; 268435456; 1; 29133595; 9.21395
0;8; 268435456; 2; 34287289; 15.658
0;8; 268435456; 4; 45906113; 23.39
0;8; 268435456; 8; 98528601; 21.7955
0;8; 536870912; 1; 64103066; 8.37512
0;8; 536870912; 2; 73387734; 14.6311
0;8; 536870912; 4; 101216552; 21.2167
0;8; 536870912; 8; 213635283; 20.1042
1;1; 32; 1; 25; 1.28
1;1; 64; 1; 56; 1.14286
1;1; 128; 1; 98; 1.30612
1;1; 256; 1; 194; 1.31959
1;1; 512; 1; 391; 1.30946
1;1; 1024; 1; 757; 1.35271
1;1; 2048; 1; 1672; 1.22488
1;1; 4096; 1; 3034; 1.35003
1;1; 8192; 1; 6131; 1.33616
1;1; 16384; 1; 12779; 1.2821
1;1; 32768; 1; 25020; 1.30967
1;1; 65536; 1; 48946; 1.33894
1;1; 131072; 1; 107350; 1.22098
1;1; 262144; 1; 210340; 1.24629
1;1; 524288; 1; 400204; 1.31005
1;1; 1048576; 1; 847653; 1.23703
1;1; 2097152; 1; 1665652; 1.25906
1;1; 4194304; 1; 3328757; 1.26002
1;1; 8388608; 1; 6799959; 1.23363
1;1; 16777216; 1; 13562628; 1.23702
1;1; 33554432; 1; 26862304; 1.24913
1;1; 67108864; 1; 55170144; 1.2164
1;1; 134217728; 1; 105798354; 1.26862
1;1; 268435456; 1; 211486581; 1.26928
1;1; 536870912; 1; 420998756; 1.27523
1;2; 32; 1; 10; 3.2
1;2; 64; 1; 22; 2.90909
1;2; 128; 1; 52; 2.46154
1;2; 256; 1; 107; 2.39252
1;2; 512; 1; 211; 2.42654
1;2; 1024; 1; 410; 2.49756
1;2; 2048; 1; 813; 2.51907
1;2; 4096; 1; 1671; 2.45123
1;2; 8192; 1; 3410; 2.40235
1;2; 16384; 1; 6612; 2.47792
1;2; 32768; 1; 12413; 2.63981
1;2; 65536; 1; 25690; 2.55103
1;2; 131072; 1; 51037; 2.56818
1;2; 262144; 1; 96428; 2.71855
1;2; 524288; 1; 212243; 2.47023
1;2; 1048576; 1; 416309; 2.51874
1;2; 2097152; 1; 786804; 2.66541
1;2; 4194304; 1; 1592362; 2.63401
1;2; 8388608; 1; 3746566; 2.23901
1;2; 16777216; 1; 7051908; 2.3791
1;2; 33554432; 1; 13496512; 2.48616
1;2; 67108864; 1; 27520211; 2.43853
1;2; 134217728; 1; 59177887; 2.26804
1;2; 268435456; 1; 113172351; 2.37192
1;2; 536870912; 1; 223029812; 2.40717
1;4; 32; 1; 7; 4.57143
1;4; 64; 1; 12; 5.33333
1;4; 128; 1; 27; 4.74074
1;4; 256; 1; 59; 4.33898
1;4; 512; 1; 101; 5.06931
1;4; 1024; 1; 193; 5.3057
1;4; 2048; 1; 403; 5.08189
1;4; 4096; 1; 756; 5.41799
1;4; 8192; 1; 1517; 5.40013
1;4; 16384; 1; 2992; 5.47594
1;4; 32768; 1; 6011; 5.45134
1;4; 65536; 1; 12094; 5.41889
1;4; 131072; 1; 25532; 5.13364
1;4; 262144; 1; 48764; 5.37577
1;4; 524288; 1; 102777; 5.10122
1;4; 1048576; 1; 193733; 5.41248
1;4; 2097152; 1; 400196; 5.24031
1;4; 4194304; 1; 794424; 5.27968
1;4; 8388608; 1; 1617137; 5.18732
1;4; 16777216; 1; 3810886; 4.40244
1;4; 33554432; 1; 8507739; 3.94399
1;4; 67108864; 1; 15075909; 4.4514
1;4; 134217728; 1; 30029194; 4.46957
1;4; 268435456; 1; 62959746; 4.2636
1;4; 536870912; 1; 115684710; 4.64081
1;8; 32; 1; 2; 16
1;8; 32; 2; 2; 32
1;8; 32; 4; 3; 42.6667
1;8; 32; 8; 9; 28.4444
1;8; 64; 1; 4; 16
1;8; 64; 2; 4; 32
1;8; 64; 4; 8; 32
1;8; 64; 8; 17; 30.1176
1;8; 128; 1; 9; 14.2222
1;8; 128; 2; 10; 25.6
1;8; 128; 4; 17; 30.1176
1;8; 128; 8; 34; 30.1176
1;8; 256; 1; 21; 12.1905
1;8; 256; 2; 21; 24.381
1;8; 256; 4; 34; 30.1176
1;8; 256; 8; 68; 30.1176
1;8; 512; 1; 49; 10.449
1;8; 512; 2; 57; 17.9649
1;8; 512; 4; 76; 26.9474
1;8; 512; 8; 153; 26.7712
1;8; 1024; 1; 92; 11.1304
1;8; 1024; 2; 93; 22.0215
1;8; 1024; 4; 146; 28.0548
1;8; 1024; 8; 291; 28.1512
1;8; 2048; 1; 193; 10.6114
1;8; 2048; 2; 237; 17.2827
1;8; 2048; 4; 283; 28.947
1;8; 2048; 8; 566; 28.947
1;8; 4096; 1; 379; 10.8074
1;8; 4096; 2; 386; 21.2228
1;8; 4096; 4; 560; 29.2571
