Benchmark_Type; Integer_Type; Vector_Size; Thread_Count; Count; Bandwidth
0;1; 32; 1; 5; 6.4
0;1; 64; 1; 11; 5.81818
0;1; 128; 1; 22; 5.81818
0;1; 256; 1; 48; 5.33333
0;1; 512; 1; 99; 5.17172
0;1; 1024; 1; 188; 5.44681
0;1; 2048; 1; 431; 4.75174
0;1; 4096; 1; 694; 5.90202
0;1; 8192; 1; 2405; 3.40624
0;1; 16384; 1; 2998; 5.46498
0;1; 32768; 1; 7847; 4.17586
0;1; 65536; 1; 12884; 5.08662
0;1; 131072; 1; 27140; 4.82948
0;1; 262144; 1; 51148; 5.12521
0;1; 524288; 1; 87950; 5.96121
0;1; 1048576; 1; 172886; 6.06513
0;1; 2097152; 1; 348550; 6.01679
0;1; 4194304; 1; 752716; 5.57223
0;1; 8388608; 1; 1516852; 5.53027
0;1; 16777216; 1; 2979043; 5.63175
0;1; 33554432; 1; 5968900; 5.62154
0;1; 67108864; 1; 11102407; 6.04453
0;1; 134217728; 1; 24494941; 5.47941
0;1; 268435456; 1; 48379961; 5.54848
0;1; 536870912; 1; 94105742; 5.70498
0;2; 32; 1; 3; 10.6667
0;2; 64; 1; 5; 12.8
0;2; 128; 1; 10; 12.8
0;2; 256; 1; 22; 11.6364
0;2; 512; 1; 46; 11.1304
0;2; 1024; 1; 97; 10.5567
0;2; 2048; 1; 200; 10.24
0;2; 4096; 1; 400; 10.24
0;2; 8192; 1; 774; 10.584
0;2; 16384; 1; 1612; 10.1638
0;2; 32768; 1; 2860; 11.4573
0;2; 65536; 1; 5265; 12.4475
0;2; 131072; 1; 11448; 11.4493
0;2; 262144; 1; 20852; 12.5716
0;2; 524288; 1; 46275; 11.3298
0;2; 1048576; 1; 90211; 11.6236
0;2; 2097152; 1; 189610; 11.0603
0;2; 4194304; 1; 383737; 10.9302
0;2; 8388608; 1; 766219; 10.9481
0;2; 16777216; 1; 1470764; 11.4071
0;2; 33554432; 1; 3420198; 9.81067
0;2; 67108864; 1; 6779112; 9.89936
0;2; 134217728; 1; 12532060; 10.7099
0;2; 268435456; 1; 24837709; 10.8076
0;2; 536870912; 1; 46679466; 11.5012
0;4; 32; 1; 2; 16
0;4; 64; 1; 3; 21.3333
0;4; 128; 1; 5; 25.6
0;4; 256; 1; 10; 25.6
0;4; 512; 1; 24; 21.3333
0;4; 1024; 1; 52; 19.6923
0;4; 2048; 1; 96; 21.3333
0;4; 4096; 1; 171; 23.9532
0;4; 8192; 1; 329; 24.8997
0;4; 16384; 1; 637; 25.7206
0;4; 32768; 1; 1589; 20.6218
0;4; 65536; 1; 2653; 24.7026
0;4; 131072; 1; 5150; 25.4509
0;4; 262144; 1; 11328; 23.1412
0;4; 524288; 1; 21225; 24.7014
0;4; 1048576; 1; 43956; 23.8551
0;4; 2097152; 1; 87641; 23.9289
0;4; 4194304; 1; 184496; 22.7338
0;4; 8388608; 1; 540340; 15.5247
0;4; 16777216; 1; 1035683; 16.1992
0;4; 33554432; 1; 2246694; 14.935
0;4; 67108864; 1; 4342822; 15.4528
0;4; 134217728; 1; 8664406; 15.4907
0;4; 268435456; 1; 17404594; 15.4233
0;4; 536870912; 1; 35273134; 15.2204
0;8; 32; 1; 2; 16
0;8; 32; 2; 2; 32
0;8; 32; 4; 2; 64
0;8; 32; 8; 4; 64
0;8; 64; 1; 2; 32
0;8; 64; 2; 2; 64
0;8; 64; 4; 2; 128
0;8; 64; 8; 5; 102.4
0;8; 128; 1; 3; 42.6667
0;8; 128; 2; 3; 85.3333
0;8; 128; 4; 3; 170.667
0;8; 128; 8; 7; 146.286
0;8; 256; 1; 5; 51.2
0;8; 256; 2; 4; 128
0;8; 256; 4; 4; 256
0;8; 256; 8; 11; 186.182
0;8; 512; 1; 7; 73.1429
0;8; 512; 2; 7; 146.286
0;8; 512; 4; 11; 186.182
0;8; 512; 8; 17; 240.941
0;8; 1024; 1; 13; 78.7692
