Benchmark_Type; Integer_Type; Vector_Size; Thread_Count; Count; Bandwidth
0;1; 32; 1; 814; 0.039312
0;1; 32; 2; 816; 0.0784314
0;1; 32; 4; 845; 0.151479
0;1; 32; 8; 1052; 0.243346
0;1; 32; 16; 1485; 0.344781
0;1; 32; 32; 1614; 0.634449
0;1; 256; 1; 1398; 0.183119
0;1; 256; 2; 1401; 0.365453
0;1; 256; 4; 1451; 0.70572
0;1; 256; 8; 1703; 1.20258
0;1; 256; 16; 2259; 1.81319
0;1; 256; 32; 2461; 3.32873
0;1; 2048; 1; 5173; 0.395902
0;1; 2048; 2; 5357; 0.764607
0;1; 2048; 4; 5434; 1.50755
0;1; 2048; 8; 6899; 2.37484
0;1; 2048; 16; 13953; 2.34846
0;1; 2048; 32; 42218; 1.55232
0;1; 16384; 1; 35980; 0.455364
0;1; 16384; 2; 36487; 0.898073
0;1; 16384; 4; 36641; 1.7886
0;1; 16384; 8; 40395; 3.24476
0;1; 16384; 16; 42881; 6.11329
0;1; 16384; 32; 50546; 10.3725
0;1; 131072; 1; 280839; 0.466716
0;1; 131072; 2; 307919; 0.851341
0;1; 131072; 4; 284120; 1.8453
0;1; 131072; 8; 314872; 3.33017
0;1; 131072; 16; 326435; 6.42441
0;1; 131072; 32; 728065; 5.76089
0;1; 1048576; 1; 2278580; 0.460188
0;1; 1048576; 2; 2393727; 0.876103
0;1; 1048576; 4; 2358732; 1.7782
0;1; 1048576; 8; 2436982; 3.44221
0;1; 1048576; 16; 2716437; 6.17618
0;1; 1048576; 32; 6483384; 5.17545
0;1; 8388608; 1; 18015716; 0.465627
0;1; 8388608; 2; 18854719; 0.889815
0;1; 8388608; 4; 19013323; 1.76479
0;1; 8388608; 8; 19112813; 3.5112
0;1; 8388608; 16; 21759922; 6.16812
0;1; 8388608; 32; 53595447; 5.00855
0;1; 67108864; 1; 145197393; 0.462191
0;1; 67108864; 2; 149998949; 0.894791
0;1; 67108864; 4; 150525186; 1.78333
0;1; 67108864; 8; 152708324; 3.51566
0;1; 67108864; 16; 172761676; 6.21516
0;1; 67108864; 32; 398656914; 5.3868
0;1; 536870912; 1; 1161842056; 0.462086
0;1; 536870912; 2; 1200104446; 0.894707
0;1; 536870912; 4; 1202083827; 1.78647
0;1; 536870912; 8; 1213516186; 3.53927
0;1; 536870912; 16; 1381965982; 6.21574
0;1; 536870912; 32; 2867148186; 5.99197
0;2; 32; 1; 1024; 0.03125
0;2; 32; 2; 946; 0.0676533
0;2; 32; 4; 1051; 0.121789
0;2; 32; 8; 1290; 0.19845
0;2; 32; 16; 1659; 0.30862
0;2; 32; 32; 22120; 0.0462929
0;2; 256; 1; 1484; 0.172507
0;2; 256; 2; 1514; 0.338177
0;2; 256; 4; 1533; 0.667971
0;2; 256; 8; 1819; 1.12589
0;2; 256; 16; 2403; 1.70454
0;2; 256; 32; 2418; 3.38792
0;2; 2048; 1; 5015; 0.408375
0;2; 2048; 2; 5060; 0.809486
0;2; 2048; 4; 5151; 1.59037
0;2; 2048; 8; 5629; 2.91064
0;2; 2048; 16; 6627; 4.94462
0;2; 2048; 32; 8915; 7.35121
0;2; 16384; 1; 33176; 0.493851
0;2; 16384; 2; 34288; 0.95567
0;2; 16384; 4; 34400; 1.90512
0;2; 16384; 8; 36387; 3.60217
0;2; 16384; 16; 45514; 5.75963
0;2; 16384; 32; 49298; 10.6351
0;2; 131072; 1; 258031; 0.50797
0;2; 131072; 2; 264421; 0.991389
0;2; 131072; 4; 266698; 1.96585
0;2; 131072; 8; 280873; 3.73327
0;2; 131072; 16; 329802; 6.35882
0;2; 131072; 32; 638247; 6.5716
0;2; 1048576; 1; 2091477; 0.501357
0;2; 1048576; 2; 2165196; 0.968574
0;2; 1048576; 4; 2221349; 1.88818
0;2; 1048576; 8; 2312569; 3.6274
0;2; 1048576; 16; 2465623; 6.80445
0;2; 1048576; 32; 5860786; 5.72524
0;2; 8388608; 1; 16633231; 0.504328
0;2; 8388608; 2; 17269768; 0.971479
0;2; 8388608; 4; 17279437; 1.94187
0;2; 8388608; 8; 17516876; 3.8311
0;2; 8388608; 16; 19485941; 6.88793
0;2; 8388608; 32; 49183412; 5.45785
0;2; 67108864; 1; 133407946; 0.503035
0;2; 67108864; 2; 138387680; 0.969868
0;2; 67108864; 4; 138481116; 1.93843
0;2; 67108864; 8; 139755128; 3.84151
0;2; 67108864; 16; 154459933; 6.95159
0;2; 67108864; 32; 358277431; 5.99391
0;2; 536870912; 1; 1068141099; 0.502622
0;2; 536870912; 2; 1104538087; 0.972118
0;2; 536870912; 4; 1102106401; 1.94853
0;2; 536870912; 8; 1117713475; 3.84264
0;2; 536870912; 16; 1237467499; 6.94154
0;2; 536870912; 32; 2509705258; 6.84537
0;4; 32; 1; 1015; 0.0315271
0;4; 32; 2; 977; 0.0655067
0;4; 32; 4; 971; 0.131823
0;4; 32; 8; 1145; 0.223581
0;4; 32; 16; 1625; 0.315077
0;4; 32; 32; 1752; 0.584475
0;4; 256; 1; 1139; 0.224759
0;4; 256; 2; 1104; 0.463768
0;4; 256; 4; 1203; 0.851205
0;4; 256; 8; 1469; 1.39415
0;4; 256; 16; 2226; 1.84007
0;4; 256; 32; 3383; 2.42152
0;4; 2048; 1; 2898; 0.706694
0;4; 2048; 2; 2908; 1.40853
0;4; 2048; 4; 3010; 2.72159
0;4; 2048; 8; 4158; 3.94036
0;4; 2048; 16; 5933; 5.52301
0;4; 2048; 32; 9874; 6.63723
0;4; 16384; 1; 17020; 0.962632
0;4; 16384; 2; 17545; 1.86765
0;4; 16384; 4; 17860; 3.66943
0;4; 16384; 8; 24327; 5.38792
0;4; 16384; 16; 33134; 7.91163
0;4; 16384; 32; 58533; 8.95714
0;4; 131072; 1; 127337; 1.02933
0;4; 131072; 2; 128638; 2.03784
0;4; 131072; 4; 131533; 3.98598
0;4; 131072; 8; 160718; 6.52432
0;4; 131072; 16; 243512; 8.61211
0;4; 131072; 32; 434019; 9.66387
0;4; 1048576; 1; 1032871; 1.01521
0;4; 1048576; 2; 1053803; 1.99008
0;4; 1048576; 4; 1104890; 3.79613
0;4; 1048576; 8; 1748242; 4.79831
0;4; 1048576; 16; 2017123; 8.3174
0;4; 1048576; 32; 4792963; 7.00077
0;4; 8388608; 1; 8073503; 1.03903
0;4; 8388608; 2; 8530166; 1.96681
0;4; 8388608; 4; 8549445; 3.92475
0;4; 8388608; 8; 9476246; 7.0818
0;4; 8388608; 16; 16189831; 8.29025
0;4; 8388608; 32; 39034009; 6.87696
0;4; 67108864; 1; 65437972; 1.02553
0;4; 67108864; 2; 68305621; 1.96496
0;4; 67108864; 4; 69024947; 3.88896
0;4; 67108864; 8; 72428996; 7.41238
0;4; 67108864; 16; 128439122; 8.35993
0;4; 67108864; 32; 290976670; 7.38026
0;4; 536870912; 1; 522505716; 1.02749
0;4; 536870912; 2; 544783824; 1.97095
0;4; 536870912; 4; 549496044; 3.9081
0;4; 536870912; 8; 567331804; 7.57047
0;4; 536870912; 16; 1030931395; 8.33221
0;4; 536870912; 32; 1988592122; 8.63921
0;8; 32; 1; 687; 0.0465793
0;8; 32; 2; 891; 0.0718294
0;8; 32; 4; 600; 0.213333
0;8; 32; 8; 959; 0.266945
0;8; 32; 16; 1395; 0.367025
0;8; 32; 32; 1363; 0.751284
