Benchmark_Type; Integer_Type; Vector_Size; Thread_Count; Count; Bandwidth
0;1; 10240; 1; 1613; 6.34751
0;1; 10240; 2; 2052; 9.97671
0;1; 10240; 4; 2304; 17.7709
0;1; 10240; 8; 5060; 16.1881
0;1; 655360; 1; 116079; 5.64581
0;1; 655360; 2; 106677; 12.2868
0;1; 655360; 4; 132854; 19.7317
0;1; 655360; 8; 227771; 23.0181
0;1; 41943040; 1; 7361103; 5.69793
0;1; 41943040; 2; 7729861; 10.8522
0;1; 41943040; 4; 8123967; 20.6515
0;1; 41943040; 8; 15431048; 21.7448
0;2; 10240; 1; 1112; 9.20201
0;2; 10240; 2; 1093; 18.7211
0;2; 10240; 4; 992; 41.2679
0;2; 10240; 8; 1694; 48.3512
0;2; 655360; 1; 52363; 12.5155
0;2; 655360; 2; 54736; 23.9459
0;2; 655360; 4; 57900; 45.2748
0;2; 655360; 8; 112027; 46.7998
0;2; 41943040; 1; 4095173; 10.2421
0;2; 41943040; 2; 4960257; 16.9116
0;2; 41943040; 4; 7438158; 22.5556
0;2; 41943040; 8; 13635231; 24.6086
0;4; 10240; 1; 421; 24.27
0;4; 10240; 2; 698; 29.2998
0;4; 10240; 4; 443; 92.3458
0;4; 10240; 8; 866; 94.5882
0;4; 655360; 1; 24838; 26.3844
0;4; 655360; 2; 27299; 48.0123
0;4; 655360; 4; 29612; 88.5252
0;4; 655360; 8; 61094; 85.8165
0;4; 41943040; 1; 2889905; 14.5136
0;4; 41943040; 2; 4354461; 19.2644
0;4; 41943040; 4; 7445775; 22.5325
0;4; 41943040; 8; 14201628; 23.6272
0;8; 10240; 1; 145; 70.3877
0;8; 10240; 2; 150; 136.215
0;8; 10240; 4; 175; 233.244
0;8; 10240; 8; 793; 103.258
0;8; 655360; 1; 19908; 32.918
0;8; 655360; 2; 17789; 73.6787
0;8; 655360; 4; 27976; 93.7032
0;8; 655360; 8; 50250; 104.334
0;8; 41943040; 1; 2813074; 14.91
0;8; 41943040; 2; 4387158; 19.1208
0;8; 41943040; 4; 8301631; 20.2095
0;8; 41943040; 8; 17229551; 19.4749
1;1; 10240; 1; 3252; 3.14812
1;1; 10240; 2; 3586; 5.70962
1;1; 10240; 4; 5225; 7.83877
1;1; 10240; 8; 4782; 17.1297
1;1; 655360; 1; 190709; 3.43642
1;1; 655360; 2; 200422; 6.53978
1;1; 655360; 4; 218266; 12.0103
1;1; 655360; 8; 308803; 16.9781
1;1; 41943040; 1; 13053452; 3.21318
1;1; 41943040; 2; 13644723; 6.14788
1;1; 41943040; 4; 18362546; 9.13665
1;1; 41943040; 8; 25626524; 13.0936
1;2; 10240; 1; 1664; 6.15052
1;2; 10240; 2; 1746; 11.7236
1;2; 10240; 4; 2463; 16.6279
1;2; 10240; 8; 4414; 18.5572
1;2; 655360; 1; 112946; 5.80237
1;2; 655360; 2; 108155; 12.1188
1;2; 655360; 4; 125598; 20.8716
1;2; 655360; 8; 167344; 31.3298
1;2; 41943040; 1; 7047824; 5.9512
1;2; 41943040; 2; 7205173; 11.6425
1;2; 41943040; 4; 8975876; 18.6915
1;2; 41943040; 8; 19411764; 17.2856
1;4; 10240; 1; 1203; 8.51127
1;4; 10240; 2; 838; 24.4386
1;4; 10240; 4; 846; 48.3806
1;4; 10240; 8; 1238; 66.1638
1;4; 655360; 1; 51653; 12.6877
1;4; 655360; 2; 60156; 21.7887
1;4; 655360; 4; 82597; 31.7377
1;4; 655360; 8; 85041; 61.6509
1;4; 41943040; 1; 4382061; 9.57153
1;4; 41943040; 2; 4451723; 18.8435
1;4; 41943040; 4; 7739935; 21.6762
1;4; 41943040; 8; 14997078; 22.374
1;8; 10240; 1; 422; 24.2367
1;8; 10240; 2; 481; 42.5329
1;8; 10240; 4; 536; 76.3225
1;8; 10240; 8; 639; 128.182
1;8; 655360; 1; 24848; 26.374
1;8; 655360; 2; 28496; 45.9951
1;8; 655360; 4; 39237; 66.8096
1;8; 655360; 8; 52618; 99.6387
1;8; 41943040; 1; 3127585; 13.4107
1;8; 41943040; 2; 3845590; 21.8136
1;8; 41943040; 4; 7330006; 22.8884
1;8; 41943040; 8; 13617693; 24.6403
