Benchmark_Type; Integer_Type; Vector_Size; Thread_Count; Count; Bandwidth
0;1; 32; 1; 10; 3.2
0;1; 64; 1; 21; 3.04762
0;1; 128; 1; 42; 3.04762
0;1; 256; 1; 83; 3.08434
0;1; 512; 1; 169; 3.02959
0;1; 1024; 1; 335; 3.05672
0;1; 2048; 1; 672; 3.04762
0;1; 4096; 1; 1342; 3.05216
0;1; 8192; 1; 2682; 3.05444
0;1; 16384; 1; 5369; 3.05159
0;1; 32768; 1; 10777; 3.04055
0;1; 65536; 1; 21566; 3.03886
0;1; 131072; 1; 42843; 3.05936
0;1; 262144; 1; 85721; 3.05811
0;1; 524288; 1; 175697; 2.98405
0;1; 1048576; 1; 346495; 3.02624
0;1; 2097152; 1; 687548; 3.05019
0;1; 4194304; 1; 1425317; 2.94272
0;1; 8388608; 1; 2810677; 2.98455
0;1; 16777216; 1; 5980358; 2.80539
0;1; 33554432; 1; 12533739; 2.67713
0;1; 67108864; 1; 25218488; 2.6611
0;1; 134217728; 1; 50069093; 2.68065
0;1; 268435456; 1; 99603450; 2.69504
0;1; 536870912; 1; 195093273; 2.75187
0;2; 32; 1; 5; 6.4
0;2; 64; 1; 9; 7.11111
0;2; 128; 1; 18; 7.11111
0;2; 256; 1; 36; 7.11111
0;2; 512; 1; 73; 7.0137
0;2; 1024; 1; 144; 7.11111
0;2; 2048; 1; 292; 7.0137
0;2; 4096; 1; 573; 7.14834
0;2; 8192; 1; 1148; 7.13589
0;2; 16384; 1; 2290; 7.15459
0;2; 32768; 1; 4587; 7.14367
0;2; 65536; 1; 9175; 7.14289
0;2; 131072; 1; 18516; 7.07885
0;2; 262144; 1; 36863; 7.1113
0;2; 524288; 1; 73650; 7.11864
0;2; 1048576; 1; 147559; 7.10615
0;2; 2097152; 1; 296715; 7.0679
0;2; 4194304; 1; 593507; 7.06698
0;2; 8388608; 1; 1192301; 7.03565
0;2; 16777216; 1; 2600760; 6.45089
0;2; 33554432; 1; 6529970; 5.13853
0;2; 67108864; 1; 13513331; 4.96612
0;2; 134217728; 1; 27101602; 4.95239
0;2; 268435456; 1; 56067768; 4.7877
0;2; 536870912; 1; 113972930; 4.71051
0;4; 32; 1; 3; 10.6667
0;4; 64; 1; 5; 12.8
0;4; 128; 1; 10; 12.8
0;4; 256; 1; 19; 13.4737
0;4; 512; 1; 37; 13.8378
0;4; 1024; 1; 72; 14.2222
0;4; 2048; 1; 131; 15.6336
0;4; 4096; 1; 255; 16.0627
0;4; 8192; 1; 488; 16.7869
0;4; 16384; 1; 967; 16.9431
0;4; 32768; 1; 1923; 17.04
0;4; 65536; 1; 3841; 17.0622
0;4; 131072; 1; 7672; 17.0845
0;4; 262144; 1; 15666; 16.7333
0;4; 524288; 1; 30691; 17.0828
0;4; 1048576; 1; 65222; 16.077
0;4; 2097152; 1; 145151; 14.4481
0;4; 4194304; 1; 304584; 13.7706
0;4; 8388608; 1; 890813; 9.4168
0;4; 16777216; 1; 1387251; 12.0939
0;4; 33554432; 1; 3991081; 8.40735
0;4; 67108864; 1; 10411494; 6.44565
0;4; 134217728; 1; 20786775; 6.45688
0;4; 268435456; 1; 43856698; 6.12074
0;4; 536870912; 1; 90218028; 5.95082
0;8; 32; 1; 2; 16
0;8; 32; 2; 2; 32
0;8; 32; 4; 3; 42.6667
0;8; 32; 8; 8; 32
0;8; 64; 1; 5; 12.8
0;8; 64; 2; 5; 25.6
0;8; 64; 4; 8; 32
0;8; 64; 8; 17; 30.1176
0;8; 128; 1; 8; 16
0;8; 128; 2; 8; 32
0;8; 128; 4; 14; 36.5714
0;8; 128; 8; 29; 35.3103
0;8; 256; 1; 14; 18.2857
0;8; 256; 2; 14; 36.5714
0;8; 256; 4; 26; 39.3846
0;8; 256; 8; 53; 38.6415
0;8; 512; 1; 32; 16
0;8; 512; 2; 32; 32
0;8; 512; 4; 58; 35.3103
0;8; 512; 8; 116; 35.3103
0;8; 1024; 1; 49; 20.898
0;8; 1024; 2; 49; 41.7959
0;8; 1024; 4; 98; 41.7959
0;8; 1024; 8; 196; 41.7959
0;8; 2048; 1; 103; 19.8835
0;8; 2048; 2; 103; 39.767
0;8; 2048; 4; 200; 40.96
0;8; 2048; 8; 400; 40.96
0;8; 4096; 1; 199; 20.5829
0;8; 4096; 2; 199; 41.1658
0;8; 4096; 4; 390; 42.0103
0;8; 4096; 8; 781; 41.9565
0;8; 8192; 1; 389; 21.0591
0;8; 8192; 2; 391; 41.9028
0;8; 8192; 4; 772; 42.4456
0;8; 8192; 8; 1544; 42.4456
0;8; 16384; 1; 770; 21.2779
0;8; 16384; 2; 772; 42.4456
0;8; 16384; 4; 1534; 42.7223
0;8; 16384; 8; 3067; 42.7362
0;8; 32768; 1; 1533; 21.3751
0;8; 32768; 2; 1535; 42.6945
0;8; 32768; 4; 3061; 42.82
0;8; 32768; 8; 6133; 42.7432
0;8; 65536; 1; 3057; 21.438
0;8; 65536; 2; 3068; 42.7223
0;8; 65536; 4; 6112; 42.8901
0;8; 65536; 8; 12216; 42.9181
0;8; 131072; 1; 6103; 21.4767
0;8; 131072; 2; 6122; 42.82
0;8; 131072; 4; 12215; 42.9217
0;8; 131072; 8; 24444; 42.8971
0;8; 262144; 1; 12211; 21.4679
0;8; 262144; 2; 12221; 42.9006
0;8; 262144; 4; 24417; 42.9445
0;8; 262144; 8; 48825; 42.9524
0;8; 524288; 1; 24390; 21.496
0;8; 524288; 2; 24513; 42.7763
0;8; 524288; 4; 48861; 42.9208
0;8; 524288; 8; 97730; 42.9173
0;8; 1048576; 1; 49130; 21.3429
0;8; 1048576; 2; 49087; 42.7232
0;8; 1048576; 4; 103826; 40.3974
0;8; 1048576; 8; 207650; 40.3978
0;8; 2097152; 1; 109919; 19.0791
0;8; 2097152; 2; 110906; 37.8185
0;8; 2097152; 4; 208958; 40.1449
0;8; 2097152; 8; 420536; 39.8948
0;8; 4194304; 1; 221511; 18.935
0;8; 4194304; 2; 222907; 37.6328
0;8; 4194304; 4; 427645; 39.2316
0;8; 4194304; 8; 883760; 37.9678
0;8; 8388608; 1; 472385; 17.758
0;8; 8388608; 2; 582581; 28.7981
0;8; 8388608; 4; 1103909; 30.396
0;8; 8388608; 8; 2343900; 28.6313
0;8; 16777216; 1; 1012332; 16.5728
0;8; 16777216; 2; 1801659; 18.6242
0;8; 16777216; 4; 2861637; 23.4512
0;8; 16777216; 8; 6175826; 21.7328
0;8; 33554432; 1; 3119879; 10.755
0;8; 33554432; 2; 4895687; 13.7078
0;8; 33554432; 4; 6225483; 21.5594
0;8; 33554432; 8; 12625703; 21.261
0;8; 67108864; 1; 8307602; 8.07801
0;8; 67108864; 2; 8311669; 16.1481
0;8; 67108864; 4; 12579363; 21.3394
0;8; 67108864; 8; 25271458; 21.2442
